event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
The Holy Guacamole Event: Tacos Party,2024-08-19 18:15:00,join us mary college hosted mary college campus ministry enjoy inspiring talk free delicious tacos bring friend,saints catholic newman center,food stuff,,saints catholic newman center e university dr tempe,0
The Hypnosis of Michael C. Anthony,2024-08-17 20:30:00,come see award winning stage hypnotist mentalist michael c anthony august show hilarious blend human psyche interactive theater must seen believed volunteer maybe maybe policy see show show regardless experience funniest jaw dropping spectacle ever light refreshmenst served please download event pass prior arriving,polytechnic,food,student engagement event welcome event new student experience,student union cooley ballrooms,1
The Sidney Poitier New American Film School Welcome,2024-08-20 14:30:00,welcome sidney poitier new american film school incoming students invited meet fellow film students faculty staff learning beginning filmmaking journey asu come hear exciting things store like state art asu media immersive experience mix center help bring creative vision life,host organizations sidney poitier new american film school herberger institute student engagement creative career services,,welcome event,coor hall room forest mall tempe,0
Thunderbird Ice Cream Social,2024-08-30 15:00:00,calling thunderbird undergraduate students please join us fun back school ice cream social build ice cream sundaes relationships fellow bird students staff cannot wait see,host organizationt thunderbird school global management,food,welcome event,asu west valley verde dining pavilion multipurpose room w thunderbird rd glendale,0
Thunderbird New Student Welcome,2024-08-20 15:00:00,calling thunderbird undergrads fall first year transfer students please join us new student welcome meet bird leadership staff well learn first hand student leaders bird experience get know students prepare first week classes receive exclusive bird themed giveaways conclusion event take bus students sun devil welcome infernofest concert tempe,host organizationt thunderbird school global management,food stuff,new student experience,asu west valley university center building ucb w thunderbird rd glendale,0
Thursday Discussion Forum,2024-08-29 17:00:00,assortment amazing organisms earth result design purely natural processes exploring important question powerful book creatures design variety scientists skeptical darwinian evolution people views welcome group feel free disagree authors every asu student joins gets free copy book join please rsvp,ratio christi tempe,food stuff,club meetings clubs organization information general inperson event,mu e orange street tempe,0
Transfer Student Welcome,2024-08-21 17:00:00,join us transfer student welcome august st pm pm student center post meet transfer students connect asu staff learn various departments support sun devil journey event geared towards transfer students miss outsee,downtown,stuff,welcome event inperson event,student center post n central ave phoenix,0
Transfer Student Welcome & Resource Fair,2024-08-27 16:00:00,welcome sun devils kick asu welcome specialized event transfer students opportunity engage socialize fellow sun devils learn campus resources build strong connection asu community new student programs invites part resource fair help engage transfer students start semester food refreshments served register event,new student programs,food stuff,welcome event,memorial union ballroom e apache blvd tempe,0
Transfer and Commuter Meet Up (Polytechnic),2024-08-22 16:00:00,questions asu polytechnic want know happening campus want meet transfer andor commuter students stop polytechnic transfer commuter student meet attending club hub pm,polytechnic,food stuff,student engagement event welcome event inperson event new student experience,devils den,0
Transitions,2024-11-10 11:00:00,showing new council roles responsibilities,kappa delta,,,glccglcc,1
Tuesday Discussion Forum,2024-08-27 11:00:00,need god explain right wrong together well investigate diversity views morality comes debate book god morality four views people views welcome group feel free disagree authors every asu student joins gets free copy book join please rsvp,ratio christi tempe,food stuff,club meetings clubs organization information general inperson event,hayden library c e orange street tempe ar,0
Unit for Data Science and Analytics Fall Semester Kickoff,2024-09-04 10:00:00,data science interdisciplinary field uses scientific methods processes algorithms systems extract valuable insights data kickoff session unit data science analytics team provide details upcoming events opportunities get involved data science analytics everyone welcome register,library,,,online,0
University College Fall Welcome - College Assembly,2024-08-20 11:00:00,join university college explore team welcome asu come hear dean jhaj college staff faculty meet fellow explore students eat free lunch play fun gamesactivities become familiar resources opportunities within college receive gold asu shirt gets entrance inferno fest evening football stadium potentially win incredible raffle prizes welcome asu explore family university college fall welcome college assembly incoming students exploratory major within university college incoming student exploratory major please rsvp college assembly,host organizationu university college explore advising office,food stuff,welcome event,tempe sun devil fitness center gold gym e apache blvd tempe,0
VSA General Meeting,2024-08-28 18:30:00,welcome vsas first general meeting school year,unknown,,,bac e lemon st tempe,0
Vintage Alley,2024-10-16 09:00:00,aapasc vintage alley event intended promote circular fashion provide exposure aapi vendors whether seasoned thrift shopper looking something special add collection vintage alley event offers something everyone come celebrate heritage creativity community us individuals member organizations welcome become vendor,asianasian pacific american student coalition,,inperson event,senita ballroom e orange st tempe,0
Volleyball Tournament,2024-09-19 17:00:00,members interact casual environment strengthen connections,business school council,,,vista pool,0
W. P. Carey Fall Welcome - Tempe,2024-08-20 13:00:00,w p carey school business welcomes new students meet college deans student engagement staff returning students celebrate part incoming class come hear w p carey help successful time asu get free shirt wpc swag must attend event w p carey first year students,w p carey school business student engagement,food stuff,welcome event wp carey event,student pavilion senita ballroom ba building deans patio,0
W. P. Carey Monthly President's Meeting,2024-09-02 17:00:00,monthly presidents meeting hosted presidents w p carey affiliated organization,business school council,,,business administration ba,0
WIA Halloween Social,2024-10-24 17:00:00,preparation halloween women animation hosting spooky evening well offer delicious snacks crafts wonderful company fantastic chance meet animation department art students,women animation,,,martin wong studio forest mall tempe,0
WIA Senior Night,2025-04-17 17:00:00,hosting social graduating seniors celebrate accomplishments,women animation,,inperson event,memorial union e orange st tempe,0
WIA Valentines Day Social,2025-02-06 17:00:00,hosting valentines day themed party incorporate food music crafts cute decorations,women animation,,,martin wong studio forest mall tempe,0
Walter Cronkite School Fall Welcome 2024,2024-08-20 14:30:00,chance meet cronkite leadership faculty advisors student leaders staff get head start fall semester addition meeting people important cronkite school well share information schools programs resources care others health semester cannot wait meet new incoming undergraduate students,host organizations walter cronkite school journalism mass communication downtown,stuff,welcome event,first amendment forum nd floor cronkite building n central ave first amendment forum phoenix,0
Watts West Wellness Weekly Walking Wanderings,2024-08-22 08:00:00,watts west wellness weekly walking wanderings wellness wins thursdays west valley may st unless university closed bad weather join us every thursday revitalizing journey well watts west wellness wander walk invites escape daily grind reconnect outdoors community weekly event held scenic asu west valley campus offers leisurely walk beautiful surroundings promoting physical mental health attend find calm breathe fresh air let go stress find peace nature uplift spirit soak sunshine let outdoors boost mood move joy enjoy gentle walk feels good body soul supportive atmosphere belong connect make new friends build connections fellow sun devils share learn exchange wellness tips support well journeys invited event open everyone looking improve well including asu students current alumni future faculty staff community members bring comfortable walking shoes water bottle sunscreen hat meeting point start day wellness join us front fletcher library walk around campus well pass residential halls residents join winding rest campus ending back fletcher library around join us journey well asu clubs departments please email anwaxmanedu would like lead host week,watts college public service community solutions,,general sun devil fitnesswellness inperson event,fletcher library west valley campus w thunderbird rd flhlb phoenix,0
Weekly Bible Study - The Well at ASU,2024-08-23 19:30:00,join us week pm bible study meet mu starbucks outside patio trouble finding us please text info events check thewellatasucomevents,well,,,mu starbucks outside patio e orange st tempe,0
Weekly SKY Follow up,2024-08-11 09:00:00,reconnect session graduates sky happiness retreat practice meditation breathwork techniques taught retreat,,,,bulldog hall room e orange st tempe,1
Welcome Back,2024-09-13 12:00:00,join us safe place vision boards meet great different leaders within community social work connect students within social work,american indian social work student association,food,welcome event inperson event,n central ave th floor phoenix,0
Welcome Back Ice Cream Social,2024-08-23 13:00:00,kick first friday semester ice cream social hosted student connection community polytechnic staff council put gold shirt meet us west patio student union pm pm ice cream non dairy treats giveaways event open students staff faculty,polytechnic,food stuff,student engagement event university signature event inperson event new student experience,student union west patio,0
Welcome Black Week- Hot Topics Night,2024-08-29 19:00:00,come join us hot topics night one welcome black week events kick start school year,black african coalition,food,,memorial union room cochise e orange st tempe,0
Welcome Black Week- Pool Day,2024-08-30 19:00:00,come join us sdfc pool pool day including pool games,black african coalition,food,,sun devil fitness center e apache blvd tempe,0
Welcome Week- Student Entrepreneur Panel,2024-08-20 14:30:00,join us virtual panel event featuring current asu student entrepreneurs part asu welcome week hosting panel event featuring three current asu students share entrepreneurial stories resources helped along way hopes inspiring students start entrepreneurial journey attendees opportunity ask panelists questions qa session end panel event,j orin edson entrepreneurship innovation institute,,entrepreneurship innovation,online,0
Welcome to ASU Physics!,2024-08-21 17:00:00,enjoy free food physics community association women physics get know peers professors physics department classes start meeting start allow students go welcome week events happening normally meet every wednesday club promotes inclusivity welcome,association women physics,food stuff,club meetings welcome event inperson event,psf e tyler mall tempe,0
Welcome to West Valley!,2024-08-17 18:00:00,join us saturday august th pm hypnotist show stop get hypnotized enjoy warm welcome west valley,student connection community west,,student engagement event welcome event new student experience,sdfc courts,1
West Fest,2024-08-21 17:00:00,join us one biggest welcome events school year west fest take place wednesday august st pm pm sdfc begin connections start night student club org fair find get involved west valley campus light programming performances time fun end pm head sdfc lawn pabs splash zone see follow us instagram updates,student connection community west,,welcome event new student experience,fletcher library,0
West Valley goes BIG (12),2024-08-18 19:00:00,roller rink roll quad sunday august th pm roller rink djs henna artists caricatures,student connection community west,,student engagement event welcome event new student experience,quad,1
What is SoDA and Can I Drink It?,2024-08-27 19:30:00,join us first event semester learn software developers association soda largest fulton student organization arizona state university get overview upcoming events semester resources offer food provided,software developers association soda,food stuff,career professional development club meetings clubs organization information general welcome event inperson event new student experience,lsa life sciences awing,0
What is TRIO Teacher Prep (and why should I attend this workshop)?,2024-08-07 16:00:00,join us lively session connect trio teacher prep cost program serving mlftc students first generation income eligible documented disability coordinated veteran educators trio teacher prep community learners seekers connects scholarships academic enrichment internships peers professional personal opportunities growth discovery elevate asu mlftc experience,host organizations teachers college office academic career success oacis tempe,,welcome event,online,0
White Elephant,2024-11-11 18:00:00,celebrate holidays connect students hosting gift exchange gifts given received participating member,business school council,,,deans patio,0
Women IN Panel,2024-11-18 18:00:00,panel hosting women diverse professional backgrounds offer professional advice wisdom connections open bsc members strengthen knowledge diversity equity inclusion professional development,business school council,,,business administration ba,0
Women In Sports Panel,2024-10-03 18:00:00,students gain deeper understanding unique challenges opportunities faced women sports industry firsthand accounts accomplished female professionals also chance network industry leaders fostering connections could lead mentorship internships career opportunities field sports,sports business association,,,bac e lemon st tempe,0
Yoga Workshop,2024-08-26 18:30:00,incorporating yoga workshop dance club crucial enhances flexibility strength injury prevention vital dancers yogas emphasis breath control mindfulness improves focus presence performances reducing anxiety additionally promotes relaxation stress relief supporting physical mental stamina needed rigorous practices performances holistic approach balances intense training restorative practices fostering dancers overall health longevity,lasya,food stuff,,pitchforks studiossdfc,0
Young Life College Weekend,2024-10-18 17:00:00,weekend williams arizona focusing friendship community fun sign using link,young life,,,lost canyon,0
